event_id,title
0,"Семьи с тремя и более детьми получат ежемесячную денежную выплату, назначаемую в случае рождения третьего ребенка или последующих детей до достижения ребенком возраста 3 лет"
1,"В субъектах Российской Федерации, входящих в состав Дальневосточного федерального округа, семьи при рождении первого ребенка получат единовременную выплату, семьям при рождении второго ребенка будет предоставлен региональный материнский (семейный) капитал"
2,"Субъектами Российской Федерации выполнены вылеты санитарной авиации дополнительно к вылетам, осуществляемым за счет собственных средств бюджетов субъектов Российской Федерации"
3,"В субъектах Российской Федерации функционирует централизованная подсистема государственной информационной системы в сфере здравоохранения Телемедицинские консультации, к которой подключены все медицинские организации государственной и муниципальной систем здравоохранения субъектов Российской Федерации второго и третьего уровней."
4,Нуждающиеся семьи получили ежемесячные выплаты в связи с рождением (усыновлением) первого ребенка
5,"Созданы новые лаборатории, в том числе под руководством молодых перспективных исследователей"
6,Сформирован и опубликован индекс качества городской среды по городам
7,"Реализованы проекты победителей Всероссийского конкурса лучших проектов создания комфортной городской среды в малых городах и исторических поселениях, не менее ед. нарастающим итогом"
8,"В субъектах Российской Федерации актуализированы действующие государственные программы формирования комфортной городской среды по результатам проведения голосования по отбору общественных территорий и формирования адресного перечня территорий, подлежащих благоустройству в следующем году"
9,"Реализованы мероприятия по благоустройству общественных территорий (набережные, центральные площади, парки и др.) и иные мероприятия, предусмотренные государственными (муниципальными) программами формирования современной городской среды"
10,"Реализованы мероприятия, предусмотренные паспортом ведомственного проекта по цифровизации городского хозяйства ""Умный город"""
11,Размещены автоматические пункты весогабаритного контроля транспортных средств на автомобильных дорогах федерального значения
12,"Размещены автоматические пункты весогабаритного контроля транспортных средств на автомобильных дорогах регионального или межмуниципального, местного значения"
13,"Внедрены новые технические требования и стандарты обустройства автомобильных дорог, в том числе на основе цифровых технологий, направленные на устранение мест концентрации дорожно-транспортных происшествий"
14,"Создан и актуализирован Реестр новых и наилучших технологий, материалов и технологических решений повторного применения"
15,"Обеспечено развитие волонтерской (добровольческой) деятельности, создание инфраструктуры поддержки волонтерства (добровольчества) во всех сферах человеческой деятельности"
16,"Осуществлены мероприятия с целью прохождения координаторами добровольцев (волонтеров) курсов (лекций, программ) по работе в сфере добровольчества (волонтерства) и технологиям работы с добровольцами (волонтерами) на базе центров поддержки добровольчества (волонтерства), НКО, образовательных организаций и иных учреждений, осуществляющих деятельность в сфере добровольчества (волонтерства)"
17,"Реализованы практики поддержки добровольчества (волонтерства) по итогам проведения ежегодного конкурса по предоставлению субсидии субъектам Российской Федерации на реализацию практик поддержки и развития добровольчества (волонтерства) ""Регион добрых дел"""
18,"Обеспечено проведение мероприятий, направленных на развитие добровольчества в сфере здравоохранения"
