event_id,raw_text
0,"Семьи с тремя и более детьми получат ежемесячную денежную выплату, назначаемую в случае рождения третьего ребенка или последующих детей до достижения ребенком возраста 3 лет. Будет предоставлена субсидия из федерального бюджета на софинансирование расходных обязательств субъектов Российской Федерации, возникающих при установлении нуждающимся в поддержке семьям ежемесячной денежной выплаты, предусмотренной пунктом 2 Указа Президента Российской Федерации от 7 мая 2012 г. № 606 О мерах по реализации демографической политики Российской Федерации"". """
1,"В субъектах Российской Федерации, входящих в состав Дальневосточного федерального округа, семьи при рождении первого ребенка получат единовременную выплату, семьям при рождении второго ребенка будет предоставлен региональный материнский (семейный) капитал. Будет осуществлено софинансирование расходных обязательств за счет средств федерального бюджета дополнительных мер поддержки семей при рождении детей, предоставляемых в субъектах Российской Федерации, входящих в состав Дальневосточного федерального округа"
2,"Субъектами Российской Федерации выполнены вылеты санитарной авиации дополнительно к вылетам, осуществляемым за счет собственных средств бюджетов субъектов Российской Федерации. Обеспечение своевременности и доступности оказания скорой специализированной медицинской помощи населению за счет увеличения числа лиц (пациентов),эвакуированных с использованием санитарной авиации, с 8 367 человек в 2017 году, до 15 500 человек в 2024 году."
3,"В субъектах Российской Федерации функционирует централизованная подсистема государственной информационной системы в сфере здравоохранения Телемедицинские консультации, к которой подключены все медицинские организации государственной и муниципальной систем здравоохранения субъектов Российской Федерации второго и третьего уровней.. В 2021 году субъекты Российской Федерации утвердят Положение об организации и оказании медицинской помощи с применением телемедицинских технологий. В соответствии с планами мероприятий по внедрению телемедицинских технологий будут созданы централизованные подсистемы государственных информационных систем в сфере здравоохранения субъектов Российской Федерации Телемедицинские консультации, к которым к концу 2022 года будут подключены все медицинские организации государственной и муниципальной систем здравоохранения субъектов Российской Федерации второго и третьего уровней. Медицинские работники медицинских организаций второго и третьего уровней будут обучены принципам проведения телемедицинских консультаций. С 2021 года будут проводиться консультации и консилиумы врачей с применением телемедицинских технологий при дистанционном взаимодействии медицинских работников между собой на региональном уровне. В 2030 году до 7 % пациентов получат телемедицинские консультации при амбулаторном лечении."
4,Нуждающиеся семьи получили ежемесячные выплаты в связи с рождением (усыновлением) первого ребенка. Минтрудом России СФР будут доведены лимиты бюджетных обязательств на осуществление ежемесячной выплаты в связи с рождением (усыновлением) первого ребенка. Минтрудом России будет осуществлен мониторинг предоставления ежемесячной выплаты в связи с рождением (усыновлением) первого ребенка.
5,"Созданы новые лаборатории, в том числе под руководством молодых перспективных исследователей. Будет обеспечена поддержка научных проектов, реализуемых на базе новых лабораторий под руководством молодых перспективных исследователей (не менее 30 % новых лабораторий). Реализация научных проектов на базе новых лабораторий будет осуществляться в рамках утвержденных организациям, подведомственным Минобрнауки России,государственных заданий на оказание услуг (выполнение работ), согласованных в установленном порядке с Российской академией наук. Одним из условий реализации данных проектов будет являться привлечение в качестве соисполнителей молодых перспективных исследователей, ранее не являвшихся работниками организаций, их реализующих, и (или) аспирантов, в том числе успешно защитивших кандидатскую диссертацию в текущем или отчетном финансовом году, и (или) ведущих ученых, осуществляющих подготовку докторской диссертации. Финансовое обеспечение выполнения государственного задания оказывается три года. Создано новых лабораторий, нарастающим итогом: 2021 г.: 450 ед.;2022 г.: 600 ед.;2023 г.: 700 ед.;2024 г.: 900 ед.; 2025 г.: 900 ед.; 2026 г.: 900 ед."
6,"Сформирован и опубликован индекс качества городской среды по городам. В соответствии с утвержденной Методикой определения индекса качества городской среды проведена оценка состояния городской среды городов Российской Федерации, сформирован и опубликован индекс качества городской среды по каждому городу Российской Федерации."
7,"Реализованы проекты победителей Всероссийского конкурса лучших проектов создания комфортной городской среды в малых городах и исторических поселениях, не менее ед. нарастающим итогом. Ежегодно на территории победителей Всероссийского конкурса лучших проектов создания комфортной городской среды будут улучшены условия жизни граждан за счет создания качественных и современных общественных пространств, формирования новых возможностей для отдыха, занятия спортом, самореализации людей."
8,"В субъектах Российской Федерации актуализированы действующие государственные программы формирования комфортной городской среды по результатам проведения голосования по отбору общественных территорий и формирования адресного перечня территорий, подлежащих благоустройству в следующем году. Субъектами Российской Федерации актуализированы действующие государственные программы формирования комфортной городской среды, проведенио голосование по отбору общественных территорий, сформированы адресные перечни территорий (подлежащих благоустройству в следующем году)."
9,"Реализованы мероприятия по благоустройству общественных территорий (набережные, центральные площади, парки и др.) и иные мероприятия, предусмотренные государственными (муниципальными) программами формирования современной городской среды. Ежегодно на территории муниципальных образований будут улучшены условия жизни граждан за счет создания качественных и современных общественных пространств, формирования новых возможностей для отдыха, занятия спортом, самореализации людей."
