event_id,raw_text
0,Наименование результата
1,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
2,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
3,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
4,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
5,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
6,"Обеспечено развитие и/или сопровождение функционала федеральных государственных информационных систем по реализации полномочий и функций Минюста России (ГИС НКО, ИСПФ Минюста России)"
7,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
8,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
9,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
10,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
11,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
12,Обеспечено участие Российской Федерации в деятельности Гаагской конференции по международному частному праву
13,Оказана методическая помощь территориальным органам Минюста России по вопросам государственной регистрации некоммерческих организаций
14,"Некоммерческие организации (иные заинтересованные лица) проинформированы о требованиях законодательства Российской Федерации к документам, представляемым в Минюст России, которые необходимы для осуществления возложенных на него полномочий, и порядка их представления"
15,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
16,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
17,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
18,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
19,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
20,Обеспечено участие Российской Федерации в деятельности Международного агентства по атомной энергии (МАГАТЭ) и Агентства по ядерной энергии Организации экономического сотрудничества и развития (АЯЭ ОЭСР)
